date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
2011-06-15,50.4 F,53.8 F,60.4 F,30.22 IN,No data.,0.00 IN,No data.,No data.,5.41 MPH,9.21 MPH,999.00 MPH
2011-06-16,50.0 F,55.9 F,64.2 F,30.12 IN,No data.,0.00 IN,No data.,No data.,4.49 MPH,9.21 MPH,999.00 MPH
2011-06-17,50.4 F,55.6 F,63.0 F,30.01 IN,No data.,0.00 IN,No data.,No data.,3.57 MPH,6.90 MPH,999.00 MPH
2011-06-18,53.1 F,56.9 F,65.3 F,29.93 IN,No data.,0.00 IN,No data.,No data.,4.14 MPH,8.06 MPH,999.00 MPH
2011-06-19,53.2 F,56.4 F,60.3 F,30.03 IN,No data.,0.00 IN,No data.,No data.,4.83 MPH,10.24 MPH,999.00 MPH
2011-06-20,52.7 F,56.9 F,63.0 F,30.04 IN,No data.,0.00 IN,No data.,No data.,2.76 MPH,6.90 MPH,999.00 MPH
2011-06-21,52.9 F,59.6 F,71.6 F,30.02 IN,No data.,0.00 IN,No data.,No data.,1.96 MPH,6.90 MPH,999.00 MPH
2011-06-22,54.1 F,61.5 F,73.6 F,29.94 IN,No data.,0.00 IN,No data.,No data.,3.68 MPH,6.90 MPH,999.00 MPH
2011-06-23,50.9 F,57.0 F,66.9 F,30.02 IN,No data.,0.00 IN,No data.,No data.,4.60 MPH,9.21 MPH,999.00 MPH
2011-06-24,52.3 F,56.6 F,63.5 F,30.09 IN,No data.,0.00 IN,No data.,No data.,4.83 MPH,8.06 MPH,999.00 MPH
2011-06-25,53.6 F,57.0 F,61.2 F,30.06 IN,No data.,0.00 IN,No data.,No data.,4.49 MPH,8.06 MPH,999.00 MPH
2011-06-26,53.1 F,57.9 F,64.0 F,30.03 IN,No data.,0.00 IN,No data.,No data.,5.64 MPH,12.77 MPH,999.00 MPH
2011-06-27,56.3 F,60.4 F,66.9 F,29.86 IN,No data.,0.00 IN,No data.,No data.,2.19 MPH,9.21 MPH,999.00 MPH
2011-06-28,56.7 F,61.3 F,66.4 F,29.71 IN,No data.,0.00 IN,No data.,No data.,2.99 MPH,6.90 MPH,999.00 MPH
2011-06-29,57.9 F,62.1 F,65.8 F,29.77 IN,No data.,0.00 IN,No data.,No data.,7.36 MPH,16.11 MPH,999.00 MPH
